Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Staphylococcus aureus infection,3/95,0.0016328049423991,0.0491714369736965,0,0,14.077741020793953,90.34328244745032,FCGR3B;KRT15;KRT13
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3/100,0.0018912091143729,0.0491714369736965,0,0,13.348722545943524,83.70368414188104,CXCR1;CXCR2;CXCL13
KEGG_2021_Human,Cytokine-cytokine receptor interaction,4/295,0.0058346565381421,0.1011340466611314,0,0,6.005345551737304,30.891136460751152,CXCR1;CXCR2;LTB;CXCL13
KEGG_2021_Human,Chemokine signaling pathway,3/192,0.011608202414154,0.1328271572122072,0,0,6.819185645272602,30.38658668393174,CXCR1;CXCR2;CXCL13
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.0127718420396353,0.1328271572122072,0,0,12.442428035043804,54.25536138345729,CXCR1;CXCR2
KEGG_2021_Human,Endocytosis,3/252,0.023796207640301,0.206233799549276,0,0,5.160293347302252,19.290358517251548,CXCR1;CXCR2;SMAP2
KEGG_2021_Human,Estrogen signaling pathway,2/137,0.0444319145713561,0.2947528146116848,0,0,6.246178092986604,19.44933230076116,KRT15;KRT13
KEGG_2021_Human,Cell adhesion molecules,2/148,0.0510149102212531,0.2947528146116848,0,0,5.772369571553483,17.176478389520618,SELL;ICOS
KEGG_2021_Human,Phospholipase D signaling pathway,2/148,0.0510149102212531,0.2947528146116848,0,0,5.772369571553483,17.176478389520618,CXCR1;CXCR2
KEGG_2021_Human,Primary immunodeficiency,1/38,0.0890801211766743,0.4024379699916842,0,0,11.21283783783784,27.115098358704657,ICOS
KEGG_2021_Human,cAMP signaling pathway,2/216,0.0981957585407986,0.4024379699916842,0,0,3.924637104792205,9.10826740278019,HCAR2;EDN3
KEGG_2021_Human,Proteasome,1/46,0.1068182621376764,0.4024379699916842,0,0,9.21574074074074,20.612168790008823,PSMB9
KEGG_2021_Human,Intestinal immune network for IgA production,1/48,0.1111996584812328,0.4024379699916842,0,0,8.822695035460994,19.378414132394244,ICOS
KEGG_2021_Human,Mitophagy,1/68,0.1538717517089819,0.4024379699916842,0,0,6.182835820895522,11.572016896560733,ATG9B
KEGG_2021_Human,Renin secretion,1/69,0.1559518351617717,0.4024379699916842,0,0,6.091605392156863,11.319470289022188,EDN3
KEGG_2021_Human,Leishmaniasis,1/77,0.1724131507719458,0.4024379699916842,0,0,5.448190789473684,9.57716561300858,FCGR3B
KEGG_2021_Human,Neuroactive ligand-receptor interaction,2/341,0.2033956621440487,0.4024379699916842,0,0,2.4618088244523944,3.920681958570267,EDN3;UTS2
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.204397826110705,0.4024379699916842,0,0,4.49705615942029,7.139917855205284,LTB
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,1/97,0.212202852644482,0.4024379699916842,0,0,4.308810763888889,6.679572779011756,FCGR3B
KEGG_2021_Human,mRNA surveillance pathway,1/98,0.214142359503524,0.4024379699916842,0,0,4.264175257731959,6.571581270407724,PPP2R2C
KEGG_2021_Human,Chagas disease,1/102,0.2218537199073844,0.4024379699916842,0,0,4.09447194719472,6.165198044044981,PPP2R2C
KEGG_2021_Human,T cell receptor signaling pathway,1/104,0.2256815539658193,0.4024379699916842,0,0,4.014563106796117,5.976200388856241,ICOS
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.2256815539658193,0.4024379699916842,0,0,4.014563106796117,5.976200388856241,LTB
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.2294909406653386,0.4024379699916842,0,0,3.937698412698413,5.795865707171542,MMP25
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.2313887434989261,0.4024379699916842,0,0,3.900353773584906,5.708776634262086,SIK1B
KEGG_2021_Human,Serotonergic synapse,1/113,0.2426797745527419,0.4024379699916842,0,0,3.690290178571429,5.225497039560622,DUSP1
KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.2538082745383733,0.4024379699916842,0,0,3.5015889830508478,4.801295201354348,PPP2R2C
KEGG_2021_Human,AMPK signaling pathway,1/120,0.2556473842905439,0.4024379699916842,0,0,3.4719887955182074,4.73564060617477,PPP2R2C
KEGG_2021_Human,Cell cycle,1/124,0.2629595230513715,0.4024379699916842,0,0,3.3584010840108403,4.4860015887240845,CDKN2D
KEGG_2021_Human,Osteoclast differentiation,1/127,0.2683974045277927,0.4024379699916842,0,0,3.277943121693122,4.31143448027524,FCGR3B
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1/131,0.2755868158298205,0.4024379699916842,0,0,3.176442307692308,4.093965860472672,FCGR3B
KEGG_2021_Human,FoxO signaling pathway,1/131,0.2755868158298205,0.4024379699916842,0,0,3.176442307692308,4.093965860472672,CDKN2D
KEGG_2021_Human,Dopaminergic synapse,1/132,0.2773733270567307,0.4024379699916842,0,0,3.1520356234096694,4.042141891625263,PPP2R2C
KEGG_2021_Human,Vascular smooth muscle contraction,1/133,0.2791555222256204,0.4024379699916842,0,0,3.127998737373737,3.991283301124502,EDN3
KEGG_2021_Human,Systemic lupus erythematosus,1/135,0.2827070050205102,0.4024379699916842,0,0,3.0810012437810945,3.892365161205596,FCGR3B
KEGG_2021_Human,Autophagy,1/137,0.286241345606316,0.4024379699916842,0,0,3.0353860294117645,3.7970249652161496,ATG9B
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.2897586249714423,0.4024379699916842,0,0,2.9910929951690823,3.705087921287284,DUSP1
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.3088022779628034,0.4024379699916842,0,0,2.768736017897092,3.253414565448033,PPP2R2C
KEGG_2021_Human,Phagosome,1/152,0.3122106087631069,0.4024379699916842,0,0,2.7317880794701987,3.1800124666297145,FCGR3B
KEGG_2021_Human,Oxytocin signaling pathway,1/154,0.3156024742670538,0.4024379699916842,0,0,2.695806100217865,3.108997288866062,RGS2
KEGG_2021_Human,Hepatitis C,1/157,0.3206595702858888,0.4024379699916842,0,0,2.643563034188034,3.006723159802408,PPP2R2C
KEGG_2021_Human,Hippo signaling pathway,1/163,0.3306641904153248,0.4024379699916842,0,0,2.5448816872427984,2.816298279306064,PPP2R2C
KEGG_2021_Human,cGMP-PKG signaling pathway,1/167,0.337253602648243,0.4024379699916842,0,0,2.4830572289156625,2.6988848153456635,RGS2
KEGG_2021_Human,Tight junction,1/169,0.3405244361468096,0.4024379699916842,0,0,2.453249007936508,2.6428076102387705,PPP2R2C
KEGG_2021_Human,Tuberculosis,1/180,0.3582333334028579,0.413958518598858,0,0,2.3012104283054,2.362355282176721,FCGR3B
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.3723752074302826,0.4209458866603194,0,0,2.1900487588652484,2.1634469174820667,FCGR3B
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.4259525806995662,0.4712666850293073,0,0,1.834728422619048,1.5658072355524135,CXCR2
KEGG_2021_Human,Parkinson disease,1/249,0.4591539884440885,0.4974168208144292,0,0,1.655157930107527,1.2883246795169605,DUSP1
KEGG_2021_Human,MAPK signaling pathway,1/294,0.5164129323167295,0.5480300506218354,0,0,1.3977531285551763,0.9237031661528964,DUSP1
KEGG_2021_Human,Human papillomavirus infection,1/331,0.5590064480247643,0.5813667059457549,0,0,1.238699494949495,0.7204205297105375,PPP2R2C
