Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Maturity onset diabetes of the young,8/26,6.380686729289674e-05,0.0176106953728395,0,0,7.4605718808746415,72.06651119641381,HNF4A;HNF4G;HNF1B;PAX6;HNF1A;MNX1;FOXA3;FOXA2
KEGG_2021_Human,Fanconi anemia pathway,11/54,0.0001824011980038093,0.0251713653245256,0,0,4.299958471760798,37.01964069392259,FANCI;RMI2;BRIP1;RAD51;FANCD2;FANCA;SLX1A;FANCC;BRCA1;FANCB;BRCA2
KEGG_2021_Human,Homologous recombination,8/41,0.0018346319965648,0.1687861436839669,0,0,4.066164764294773,25.62054377294483,BRIP1;RAD51;XRCC2;XRCC3;RAD54L;BRCA1;BRCA2;RAD54B
KEGG_2021_Human,Histidine metabolism,5/22,0.0067352679442558,0.464733488153652,0,0,4.924250339567443,24.62321000353989,ALDH3A1;AOC1;ALDH3B1;CARNS1;ASPA
KEGG_2021_Human,Nitrogen metabolism,4/17,0.0133919094457517,0.5744703232497385,0,0,5.14804450208177,22.204054047509874,CA12;CPS1;CA9;CA13
KEGG_2021_Human,Retinol metabolism,9/68,0.014011971469012,0.5744703232497385,0,0,2.557328015952144,10.91427500819292,CYP2W1;ALDH1A2;UGT2B15;AOX1;RDH5;BCO1;CYP2C18;CYP3A5;UGT2B7
KEGG_2021_Human,Mucin type O-glycan biosynthesis,6/36,0.0146320026237088,0.5744703232497385,0,0,3.3491555555555554,14.14865563887437,GALNT12;GALNT7;GALNT14;ST6GALNAC1;B3GNT3;GCNT3
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",6/37,0.0166513137173837,0.5744703232497385,0,0,3.24094623655914,13.272537461027053,CPS1;GLS2;GPT;RIMKLA;ASPA;ASRGL1
KEGG_2021_Human,ECM-receptor interaction,10/88,0.0266282550802365,0.7321853685523618,0,0,2.149065623641895,7.792044327305017,FRAS1;ITGA3;COL4A4;ITGA2B;COL6A1;ITGA7;ITGB6;COL9A2;NPNT;FREM2
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,9/76,0.0272268091157135,0.7321853685523618,0,0,2.2510176390773404,8.111661730653843,ALDH3A1;AKR7A3;GSTO2;ALDH3B1;UGT2B15;DHDH;CYP3A5;GSTT2B;UGT2B7
KEGG_2021_Human,Axon guidance,17/182,0.0291813009205651,0.7321853685523618,0,0,1.729873238670366,6.113764973555681,ROBO2;ROBO3;SEMA6A;UNC5A;SEMA3D;SEMA3A;PRKCA;SEMA3E;SEMA4G;NFATC4;SHH;ABLIM1;EFNA2;BMPR1B;SRGAP1;NEO1;NGEF
KEGG_2021_Human,Drug metabolism,11/108,0.0418313176162613,0.9621203051740104,0,0,1.9006995581737849,6.0330294645424924,ALDH3A1;GSTO2;ALDH3B1;UGT2B15;NME2;AOX1;TK1;GSTT2B;CYP3A5;FMO5;UGT2B7
KEGG_2021_Human,Folate biosynthesis,4/26,0.0563819627694134,0.999995519875702,0,0,3.0405743324997982,8.74349373524125,DHFR;MOCOS;AKR1C3;ALPG
KEGG_2021_Human,Circadian rhythm,4/31,0.0953811720441318,0.999995519875702,0,0,2.4768477439284893,5.820280308693369,PRKAA2;TPTEP2-CSNK1E;RORC;NPAS2
KEGG_2021_Human,Tight junction,14/169,0.0981731406933439,0.999995519875702,0,0,1.5132468882663817,3.5122802533691764,MAGI1;PRKAA2;CACNA1D;GATA4;CGN;AMOT;EPB41L4B;CLDN10;OCLN;CLDN3;BVES;CFTR;CGNL1;TJP3
KEGG_2021_Human,ABC transporters,5/45,0.1087503759884768,0.999995519875702,0,0,2.090253108348135,4.6376448884872845,ABCC3;ABCA10;ABCA3;ABCC6;CFTR
KEGG_2021_Human,Melanogenesis,9/101,0.1176635222793722,0.999995519875702,0,0,1.637148337595908,3.503376676427243,WNT10A;KITLG;FZD5;CREB3L1;FZD8;WNT7A;PRKCA;CALML4;ADCY6
KEGG_2021_Human,Mineral absorption,6/60,0.1222857403723019,0.999995519875702,0,0,1.858271604938272,3.904962359280021,ATP7B;MT1M;SLC40A1;MT1G;MT1H;STEAP2
KEGG_2021_Human,Pentose and glucuronate interconversions,4/34,0.1234846493707948,0.999995519875702,0,0,2.228808044957113,4.661860553756841,UGT2B15;DHDH;XYLB;UGT2B7
KEGG_2021_Human,Arginine biosynthesis,3/22,0.1250520555955186,0.999995519875702,0,0,2.6385778275475924,5.485669752372532,CPS1;GLS2;GPT
KEGG_2021_Human,Steroid hormone biosynthesis,6/61,0.129550861391303,0.999995519875702,0,0,1.824387878787879,3.7284681633464105,HSD11B2;UGT2B15;HSD17B2;AKR1C3;CYP3A5;UGT2B7
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,4/35,0.1335521006059447,0.999995519875702,0,0,2.156796519449294,4.342199948000257,NT5E;AOX1;ENPP1;NMNAT2
KEGG_2021_Human,Calcium signaling pathway,18/240,0.1358930833445065,0.999995519875702,0,0,1.358417716908283,2.711248063831103,MCOLN3;PTGER1;CHRNA7;TNNC2;PRKCA;CACNA1D;CALML4;MST1R;GRIN2D;ERBB3;ERBB4;PDGFC;ITPKA;FGF18;PLCE1;PLCD3;FGFR4;MCU
KEGG_2021_Human,Hypertrophic cardiomyopathy,8/90,0.1363171420787127,0.999995519875702,0,0,1.6321264904545751,3.2524546337924627,PRKAA2;ITGA3;ITGA2B;ITGA7;CACNA1D;TNNI3;ITGB6;CACNG4
KEGG_2021_Human,Mannose type O-glycan biosynthesis,3/23,0.1380913810920472,0.999995519875702,0,0,2.5065159574468083,4.962499628648418,B3GAT1;LARGE1;FUT4
KEGG_2021_Human,Rap1 signaling pathway,16/210,0.1391134771847635,0.999995519875702,0,0,1.3813508390735518,2.724666592068522,MAGI1;ITGA2B;PRKCA;CALML4;ADCY6;RAP1GAP;VAV2;KITLG;EFNA2;CNR1;PDGFC;FGF18;PLCE1;TLN2;FGFR4;MAP2K6
KEGG_2021_Human,DNA replication,4/36,0.1439418032739927,0.999995519875702,0,0,2.0892857142857144,4.049759035498474,RFC3;MCM4;DNA2;POLE
KEGG_2021_Human,Starch and sucrose metabolism,4/36,0.1439418032739927,0.999995519875702,0,0,2.0892857142857144,4.049759035498474,AMY2B;TREH;HKDC1;ENPP1
KEGG_2021_Human,Tyrosine metabolism,4/36,0.1439418032739927,0.999995519875702,0,0,2.0892857142857144,4.049759035498474,ALDH3A1;HGD;ALDH3B1;AOX1
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,7/77,0.1444373015633164,0.999995519875702,0,0,1.672508896797153,3.2361537961393227,ITGA3;ITGA2B;ITGA7;DSG2;CACNA1D;ITGB6;CACNG4
