Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Focal adhesion,21/201,7.235399266543374e-08,1.6786126298380627e-05,0,0,4.5031,74.03859765497354,PDGFRB;PDGFRA;TNXB;VWF;LAMA2;CAV1;ITGB3;TNC;VEGFC;THBS2;THBS1;MYLK;COL1A2;CCND1;COL4A2;COL4A1;COL6A2;KDR;ITGA8;COL6A3;MYL9
KEGG_2021_Human,ECM-receptor interaction,13/88,4.421782910708736e-07,5.129268176422133e-05,0,0,6.620787401574803,96.87239953493668,TNXB;VWF;LAMA2;ITGB3;TNC;THBS2;THBS1;COL1A2;COL4A2;COL4A1;COL6A2;ITGA8;COL6A3
KEGG_2021_Human,Protein digestion and absorption,13/103,2.762919796506429e-06,0.0002136657975964972,0,0,5.513057742782152,70.56285292645154,CPA3;COL15A1;COL14A1;COL12A1;COL3A1;COL1A2;COL4A2;COL4A1;COL6A2;COL5A2;COL8A1;COL6A3;PRSS2
KEGG_2021_Human,PI3K-Akt signaling pathway,25/354,7.091582498834322e-06,0.0004113117849323907,0,0,2.9338047847828217,34.784955798558585,CSF3;TNXB;LAMA2;ITGB3;TNC;THBS2;FGF2;THBS1;FGF7;CCND1;KDR;PDGFRB;PDGFRA;NTRK2;VWF;VEGFC;GNG11;IL6;COL1A2;COL4A2;COL4A1;COL6A2;ITGA8;COL6A3;TEK
KEGG_2021_Human,Cell adhesion molecules,13/148,0.00013613035820757895,0.0063164486208316,0,0,3.666841644794401,32.641848892669,HLA-DRB5;NEGR1;NRXN3;NRXN2;CDH5;CLDN5;MAG;ITGA8;NRCAM;LRRC4C;CD34;JAM2;JAM3
KEGG_2021_Human,Staphylococcus aureus infection,10/95,0.0001837561161756336,0.0071052364921244,0,0,4.465062737423737,38.40802822940806,C3;HLA-DRB5;C1S;C1R;KRT14;KRT13;DSG1;MASP1;DEFB4A;CFB
KEGG_2021_Human,Proteoglycans in cancer,15/205,0.00032625014911451765,0.0094478595210529,0,0,3.009517370501352,24.15994241287829,FZD4;LUM;FZD7;CAV1;ITGB3;MMP2;TWIST2;TWIST1;FGF2;THBS1;DCN;COL1A2;CCND1;KDR;TIMP3
KEGG_2021_Human,Amoebiasis,10/102,0.00032946925016208136,0.0094478595210529,0,0,4.123840721517911,33.06506843900867,SERPINB3;SERPINB4;IL6;COL3A1;COL1A2;GNAL;COL4A2;LAMA2;IL1R1;COL4A1
KEGG_2021_Human,Complement and coagulation cascades,9/85,0.0003665117917649852,0.0094478595210529,0,0,4.487741570723684,35.50467706789829,C3;VWF;C1S;F10;C1R;SERPINF2;MASP1;CLU;CFB
KEGG_2021_Human,Wnt signaling pathway,13/166,0.00042115892055996846,0.0097708869569912,0,0,3.232437857032577,25.12412425229179,MMP7;FZD4;FZD7;PRICKLE2;PRICKLE1;DKK1;SFRP4;SFRP1;SFRP2;CCND1;SOX17;CCN4;ROR2
KEGG_2021_Human,Human papillomavirus infection,19/331,0.0011649705374591,0.0245702876991384,0,0,2.32514174072939,15.706470762751996,PDGFRB;TNXB;VWF;LAMA2;FZD4;FZD7;ITGB3;TNC;THBS2;THBS1;CCNA1;COL1A2;CCND1;COL4A2;COL4A1;COL6A2;ITGA8;COL6A3;ATP6V1B1
KEGG_2021_Human,Calcium signaling pathway,15/240,0.0016427303669993,0.0317594537619872,0,0,2.5367588932806324,16.264164714199016,PDGFRB;PDGFRA;NTRK2;TNNC1;PTGER3;VEGFC;ADCY2;TACR1;FGF2;MYLK;FGF7;EDNRB;GNAL;LTB4R2;KDR
KEGG_2021_Human,Malaria,6/50,0.0018254891094528,0.0325779594917748,0,0,5.146072374227714,32.45065546765799,CSF3;IL6;HBB;ACKR1;THBS2;THBS1
KEGG_2021_Human,TGF-beta signaling pathway,8/94,0.0031538407449032,0.0522636466298251,0,0,3.516569200779727,20.252394248982096,CHRD;INHBB;FMOD;THBS1;DCN;THSD4;BMP6;FBN1
KEGG_2021_Human,Pathways in cancer,25/531,0.003394103377047,0.0524954655649947,0,0,1.8899217455055464,10.745557653008978,LAMA2;PTGER2;PTGER3;ADCY2;FGF2;DLL1;FGF7;EDNRB;CCND1;PDGFRB;PDGFRA;FZD4;FZD7;ZBTB16;MMP2;VEGFC;GNG11;AR;CCNA1;IL6;CXCL12;GSTA4;COL4A2;COL4A1;GSTM5
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,8/100,0.0046080402936867,0.0668165842584578,0,0,3.28621069582168,17.67965781438982,IL6;COL3A1;COL1A2;CCND1;COL4A2;COL4A1;MMP2;VEGFC
KEGG_2021_Human,Relaxin signaling pathway,9/129,0.0067009301554591,0.0914479880039126,0,0,2.835791015625,14.194577260968458,COL3A1;EDNRB;COL1A2;COL4A2;COL4A1;MMP2;VEGFC;ADCY2;GNG11
KEGG_2021_Human,Vascular smooth muscle contraction,9/133,0.0081295973481708,0.1047814769319796,0,0,2.743746849798387,13.203578995318496,PPP1R14A;CALCRL;RAMP3;EDN3;CALD1;ADCY2;MYL9;RAMP1;MYLK
KEGG_2021_Human,Leukocyte transendothelial migration,8/114,0.0099653647157247,0.1216823481077974,0,0,2.850123211592924,13.135191057841928,CDH5;CLDN5;CXCL12;MMP2;THY1;MYL9;JAM2;JAM3
KEGG_2021_Human,Rheumatoid arthritis,7/93,0.0108064326925252,0.1253546192332923,0,0,3.071011673151751,13.904354531852338,CXCL6;HLA-DRB5;IL6;CXCL12;CTSK;TEK;ATP6V1B1
KEGG_2021_Human,IL-17 signaling pathway,7/94,0.0114221596068306,0.1261876680373673,0,0,3.035556151885147,13.575614177548406,CXCL6;CSF3;IL6;LCN2;DEFB4A;MUC5B;S100A7
KEGG_2021_Human,Hematopoietic cell lineage,7/99,0.0148864068635668,0.1569839269248865,0,0,2.8698401285738453,12.074297811688137,CSF3;HLA-DRB5;IL6;IL1R1;ANPEP;ITGB3;CD34
KEGG_2021_Human,Glutathione metabolism,5/57,0.0162138300660445,0.163548198927058,0,0,3.620117769827072,14.921729743609609,GGT5;GSTA4;GPX3;ANPEP;GSTM5
KEGG_2021_Human,Arachidonic acid metabolism,5/61,0.0211845889133085,0.2047843594953164,0,0,3.3608457918050942,12.954317255699044,GGT5;PTGIS;GPX3;PTGDS;ALOX15B
KEGG_2021_Human,ABC transporters,4/45,0.0292463404876559,0.2612922280796877,0,0,3.6680662357880833,12.95561296972753,ABCA6;ABCA9;ABCC9;ABCA8
