Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Tuberculosis,29/180,1.7386892289120581e-12,4.624913348906074e-10,0,0,5.79299429380649,156.86205996026757,CIITA;ITGAM;CALML5;SRC;NOD2;CYP27B1;FCGR3A;CLEC7A;IRAK2;MRC1;HLA-DOA;FCGR1A;HLA-DQA1;CAMP;IL10;SYK;VDR;RIPK2;IL10RB;STAT1;IL1A;CD209;HLA-DRA;CLEC4E;FCGR2B;TLR4;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Staphylococcus aureus infection,20/95,3.403081468739208e-11,4.526098353423146e-09,0,0,7.962790697674419,191.9331536041111,IL10;C1QB;C1QA;ITGAM;PTAFR;KRT24;FPR3;ICAM1;C2;FCGR3A;C3AR1;HLA-DRA;HLA-DOA;FCGR1A;FCGR2B;CAMP;HLA-DQA1;HLA-DRB1;HLA-DQB1;C1QC
KEGG_2021_Human,Phagosome,24/152,2.2229720912263344e-10,1.9710352542206832e-08,0,0,5.618272230889236,124.8773697405712,COLEC12;MSR1;ITGAM;NCF2;TAP2;CYBB;TAP1;MARCO;FCGR3A;TUBB3;CLEC7A;CD209;MRC1;HLA-DRA;OLR1;CD36;HLA-DOA;FCGR1A;FCGR2B;TLR4;HLA-DQA1;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Rheumatoid arthritis,18/93,1.3931194997587616e-09,9.264244673395764e-08,0,0,7.14435857805255,145.68576227470115,CD86;CXCL8;CCL3L1;MMP1;CD80;TNFRSF11A;ICAM1;IL1A;CCL3;ACP5;CTLA4;HLA-DRA;HLA-DOA;TLR4;HLA-DQA1;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Leishmaniasis,15/77,2.9918500911966775e-08,1.3643144270878286e-06,0,0,7.173573200992556,124.28064056464112,IL10;ITGAM;NCF2;STAT1;CYBB;IL1A;FCGR3A;HLA-DRA;HLA-DOA;FCGR1A;TLR4;HLA-DQA1;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,17/100,3.0774009633560045e-08,1.3643144270878286e-06,0,0,6.085155436561059,105.25247120534608,CCR1;IL10;CSF1R;CCL13;CXCL9;CXCL8;CCL22;CCL3L1;IL10RB;CXCL13;CXCL10;CXCL11;CCL8;CCL7;IL2RA;CCL3;CCL18
KEGG_2021_Human,Osteoclast differentiation,19/127,4.137954952284075e-08,1.5724228818679486e-06,0,0,5.236111111111111,89.0163972533527,LILRA6;CSF1R;SYK;NCF2;STAT1;TREM2;LILRB1;TNFRSF11A;LILRB2;LILRB4;LILRB5;OSCAR;IL1A;FCGR3A;BLNK;ACP5;PPARG;FCGR1A;FCGR2B
KEGG_2021_Human,Antigen processing and presentation,14/78,2.524163838355501e-07,7.735329071979916e-06,0,0,6.475470430107527,98.37654989199808,CIITA;KLRC2;KLRC3;KLRC4;CD8B2;TAP2;TAP1;KIR2DL4;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DQB1;LGMN
KEGG_2021_Human,Epstein-Barr virus infection,23/202,2.862044533409471e-07,7.735329071979916e-06,0,0,3.8339337614646967,57.7641907899786,SYK;STAT1;DDX58;TAP2;TAP1;TNFAIP3;ISG15;ICAM1;CXCL10;BCL2L11;CCNE2;OAS1;CCNE1;OAS2;OAS3;BLNK;HLA-DRA;E2F2;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Influenza A,21/172,2.908018448112751e-07,7.735329071979916e-06,0,0,4.142816009213936,62.351965009340425,CIITA;CXCL8;RSAD2;DDX58;STAT1;MX1;TMPRSS2;ICAM1;IFIH1;CXCL10;IL1A;OAS1;OAS2;OAS3;HLA-DRA;TLR7;HLA-DOA;TLR4;HLA-DQA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human,Systemic lupus erythematosus,18/135,5.510646816095065e-07,1.3325745937102612e-05,0,0,4.56973011532517,65.85627093884273,CD86;IL10;C1QB;C1QA;H2BC5;CD80;C2;FCGR3A;H2AC14;H4C11;HLA-DRA;HLA-DOA;FCGR1A;HLA-DQA1;HLA-DRB1;H3C6;HLA-DQB1;C1QC
KEGG_2021_Human,Cytokine-cytokine receptor interaction,28/295,6.862059399014141e-07,1.5210898334481347e-05,0,0,3.139152981849611,44.55113552188069,CCL13;CSF1R;IL1RN;CXCL9;CXCL8;CCL3L1;CXCL17;TNFRSF11A;CXCL13;CSF2RA;GHR;CCL8;CCL7;CCL3;IL21R;CCL18;RELT;CCR1;IL10;CCL22;IL10RB;TNFRSF9;IL36G;IL1A;CXCL10;CXCL11;TNFSF4;IL2RA
KEGG_2021_Human,Coronavirus disease,24/232,9.288459530099742e-07,1.9005617192357933e-05,0,0,3.442997719908796,47.82090718632598,C1QB;C1QA;CXCL8;SYK;STAT1;DDX58;MMP1;MX1;TMPRSS2;CYBB;ISG15;C2;IFIH1;CXCL10;OAS1;OAS2;OAS3;C3AR1;TLR8;TLR7;TLR4;HBEGF;TLR2;C1QC
KEGG_2021_Human,Inflammatory bowel disease,12/65,1.326256918715063e-06,2.51988814555862e-05,0,0,6.685659799474125,90.47803644913937,IL10;IL1A;STAT1;IL21R;HLA-DRA;NOD2;HLA-DOA;TLR4;HLA-DQA1;HLA-DRB1;HLA-DQB1;TLR2
KEGG_2021_Human,Toll-like receptor signaling pathway,15/104,1.7642141713857253e-06,3.128539797257353e-05,0,0,4.990319792566984,66.11078447467321,CD86;CXCL9;CXCL8;CCL3L1;STAT1;CD80;CXCL10;CXCL11;CCL3;SPP1;TLR8;IRF5;TLR7;TLR4;TLR2
KEGG_2021_Human,NOD-like receptor signaling pathway,20/181,2.703666635988807e-06,4.494845782331392e-05,0,0,3.692811401608166,47.34517195040509,GBP5;CXCL8;RIPK2;STAT1;CYBB;TNFAIP3;NLRC4;NOD2;P2RX7;TRPM2;AIM2;OAS1;NLRP7;OAS2;OAS3;GBP2;TLR4;GBP1;CAMP;GBP4
KEGG_2021_Human,Measles,17/139,3.7991728600003416e-06,5.944588122118181e-05,0,0,4.131514369560818,51.564303700562746,DDX58;STAT1;MX1;TNFAIP3;IFIH1;IL1A;CCNE2;OAS1;CCNE1;CD209;OAS2;OAS3;IL2RA;TLR7;FCGR2B;TLR4;TLR2
KEGG_2021_Human,Type I diabetes mellitus,9/43,9.63583317200518e-06,0.0001423962013196321,0,0,7.788244261119082,89.95439089337134,CD86;IL1A;CD80;GAD1;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human,Neutrophil extracellular trap formation,19/189,1.872630264482032e-05,0.00026216823702748446,0,0,3.315743944636678,36.09380082255705,ITGAM;SIGLEC9;SYK;H2BC5;NCF2;SRC;CYBB;FPR3;FCGR3A;H2AC14;CLEC7A;H4C11;TLR8;TLR7;FCGR1A;TLR4;CAMP;H3C6;TLR2
KEGG_2021_Human,Hematopoietic cell lineage,13/99,2.4146503224011617e-05,0.0003211484928793545,0,0,4.462779997146526,47.4454697624369,CSF1R;ITGAM;CD8B2;CSF2RA;IL1A;IL2RA;HLA-DRA;CD36;HLA-DOA;FCGR1A;HLA-DQA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human,Allograft rejection,8/38,2.894838682197954e-05,0.0003666795664117408,0,0,7.835616438356165,81.88216105266936,CD86;IL10;CD80;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human,PPAR signaling pathway,11/74,3.146126457444173e-05,0.0003803952898546137,0,0,5.145187126838503,53.33888647460257,FABP3;GK;MMP1;ME1;OLR1;LPL;NR1H3;PPARG;CD36;ANGPTL4;SLC27A2
KEGG_2021_Human,Cell adhesion molecules,16/148,3.472935143718576e-05,0.00038555515947843777,0,0,3.58649670822244,36.82588052474638,CD86;CD274;ITGAM;CD80;CD8B2;PDCD1LG2;CLDN1;ICAM1;CLDN23;HLA-DRA;CTLA4;SIGLEC1;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DQB1
KEGG_2021_Human,Cholesterol metabolism,9/50,3.478693168226506e-05,0.00038555515947843777,0,0,6.456201665675193,66.28110152076812,ABCA1;NCEH1;APOC2;APOC1;LPL;CD36;ANGPTL4;APOE;LIPA
