Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Group,Pathway,-log10(adj P)
Reactome_2022,Immune System R-HSA-168256,157/1943,9.16093116151094e-27,9.298345128933604e-24,0,0,3.036734752360882,182.06697560230592,CD86;IL1RN;CALML5;NCF2;CLEC10A;CD80;WIPF3;IFIT5;RNF19B;ICAM4;IFIT1;ABCA13;IFIT3;ICAM1;IFIT2;SOX2;HERC5;PLAU;CLEC5A;C3AR1;LGALS9;HLA-DOA;HERC6;GBP5;RSAD2;CYBB;RNASE1;OSCAR;CLEC4A;CLEC4E;SLC27A2;CD274;CSF1R;CCL3L1;ALOX15;TNFRSF11A;GPR84;CSF2RA;KIR2DL4;TRPM2;BCL2L11;CLEC7A;IRAK2;HMOX1;CD300LF;HLA-DQA1;ARSB;CCR1;ATP8B4;KLRC2;TNFRSF9;CRTAM;FN1;IL36G;ISG15;PILRA;LYZ;CXCL10;CD209;TNFSF4;TARM1;HLA-DRA;HPSE;XAF1;MUC20;ULBP1;HLA-DRB1;MUC21;LGMN;CIITA;SIGLEC9;ITGAM;CXCL8;TNFAIP6;TNFAIP3;TREM2;SLC2A5;IL18BP;IFIH1;GHR;GM2A;MRC1;BLNK;OLR1;CTLA4;CD36;HAVCR2;EDARADD;IL10;SERPINB2;DTX3L;SYK;RIPK2;MMP1;NFAM1;PLAUR;PDCD1LG2;MMP9;MMP12;NCR1;RNF144B;IL1A;CEACAM1;AIM2;OAS1;CEACAM6;OAS2;OAS3;TLR8;CHI3L1;IRF8;TLR7;IRF5;TLR4;TLR2;C1QB;LILRA6;COLEC12;C1QA;SRC;PTAFR;FGL2;NLRC5;IFI6;NOD2;NLRC4;USP18;PTPRZ1;RNASE7;CCL3;IL21R;TRIM46;FCGR1A;GBP2;XDH;GBP1;GBP4;CCL22;STAT1;IL10RB;MX1;LILRB1;LILRB2;LILRB4;LILRB5;P2RX7;MYO1E;IL2RA;TRIM36;SIGLEC1;FCGR2B;PIK3AP1;TRIM31;CD68;ASB2;SIGLEC7;C1QC,SCC,Reactome_2022: Immune System R-HSA-168256,23.03159433804004
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),46/236,1.422725259318837e-22,4.1074078236534824e-19,0,0,7.488053736927132,376.6812852510149,CCL13;CSF1R;CIITA;CXCL9;CXCL8;CCL3L1;TNFAIP6;ALOX15;FPR3;ADM;NLRC4;CXCL13;CCL8;CCL7;IRAK2;ADORA3;CCRL2;C3AR1;BLNK;CCL3;OLR1;LGALS9;CCL18;CMKLR1;APOL2;CCR1;PLA2G2D;CCL22;RIPK2;IL10RB;NFAM1;PLA2G4C;CYBB;LYZ;TMIGD3;IL1A;CXCL10;CXCL11;TNFSF4;IL2RA;CHI3L1;SIGLEC1;FCGR2B;FOLR2;TLR4;TLR2,SCC,GO_Biological_Process_2023: Inflammatory Response (GO:0006954),18.386432173998276
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,73/702,3.755539482054123e-18,1.9059362871424668e-15,0,0,3.667173333906243,147.13909483332694,CD86;CIITA;IL1RN;ITGAM;CXCL8;CD80;IFIT5;IFIT1;IFIT3;IL18BP;ICAM1;IFIT2;SOX2;HERC5;GHR;BLNK;LGALS9;CD36;HAVCR2;EDARADD;IL10;GBP5;SERPINB2;RSAD2;SYK;RIPK2;MMP1;MMP9;IL1A;OAS1;OAS2;OAS3;IRF8;IRF5;CSF1R;CCL3L1;PTAFR;ALOX15;NLRC5;IFI6;TNFRSF11A;NOD2;CSF2RA;USP18;BCL2L11;PTPRZ1;IRAK2;RNASE7;CCL3;IL21R;TRIM46;HMOX1;FCGR1A;GBP2;GBP1;HLA-DQA1;GBP4;CCR1;CCL22;STAT1;IL10RB;TNFRSF9;MX1;FN1;IL36G;ISG15;CXCL10;TNFSF4;IL2RA;HLA-DRA;XAF1;TRIM31;HLA-DRB1,SCC,Reactome_2022: Cytokine Signaling In Immune System R-HSA-1280215,14.719891621328824
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),40/257,3.389059685358661e-16,4.892107655815229e-13,0,0,5.638488479262673,200.847521077958,CCL13;CSF1R;CEBPA;CXCL9;CXCL8;CCL3L1;SRC;TNFRSF11A;CXCL13;CSF2RA;GHR;CCL8;CCL7;IRAK2;CCL3;IL21R;CCL18;CD300LF;DUOX2;CCR1;EDN2;CCL22;SYK;STAT1;MX1;IL36G;LILRB1;LILRB2;LILRB4;ST18;IL1A;CXCL10;CEACAM1;CXCL11;AIM2;OAS1;OAS2;IL2RA;IRF5;CARD14,SCC,GO_Biological_Process_2023: Cytokine-Mediated Signaling Pathway (GO:0019221),12.310503994437866
GO_Biological_Process_2023,Negative Regulation Of T Cell Proliferation (GO:0042130),16/36,7.351792017964642e-15,7.074874518621307e-12,0,0,23.80893682588598,774.8340472894819,CD86;IL10;PLA2G2F;CD274;PLA2G2D;CD80;CRTAM;LILRB1;LILRB2;PDCD1LG2;LILRB4;IL4I1;GPNMB;LGALS9;VSIG4;HLA-DRB1,SCC,GO_Biological_Process_2023: Negative Regulation Of T Cell Proliferation (GO:0042130),11.150281258468494
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Proliferation (GO:0050672),16/39,3.4570509197434076e-14,2.495126501324805e-11,0,0,20.700207677363167,641.6189881415562,CD86;IL10;PLA2G2F;CD274;PLA2G2D;CD80;LILRB1;LILRB2;PDCD1LG2;LILRB4;IL4I1;GPNMB;CTLA4;VSIG4;FCGR2B;HLA-DRB1,SCC,GO_Biological_Process_2023: Negative Regulation Of Lymphocyte Proliferation (GO:0050672),10.602907431028724
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),40/308,1.6769648207243598e-13,8.068995729052044e-11,0,0,4.553313432835821,133.94309419927802,CCL13;CSF1R;CEBPA;CXCL8;CCL3L1;ALOX15;IFIT1;CSF2RA;GHR;TRIM6;CCL8;CCL7;NLRP7;CCL3;IL21R;HAS2;LGALS9;CCL18;GBP2;GBP1;DUOX2;GBP4;CCR1;GBP5;EDN2;CCL22;STAT1;IL36G;LILRB1;LILRB2;LILRB4;DCSTAMP;IL1A;AIM2;OAS1;CHI3L1;IRF8;IRF5;TLR4;TLR2,SCC,GO_Biological_Process_2023: Cellular Response To Cytokine Stimulus (GO:0071345),10.093180514406997
GO_Biological_Process_2023,Negative Regulation Of T Cell Activation (GO:0050868),17/49,1.46089711377559e-13,8.068995729052044e-11,0,0,15.82518325617284,467.70625684882026,CD86;IL10;PLA2G2F;CD274;PLA2G2D;CD80;LILRB1;PDCD1LG2;LILRB2;LILRB4;IL4I1;CEACAM1;GPNMB;VSIG4;FCGR2B;HLA-DRB1;HAVCR2,SCC,GO_Biological_Process_2023: Negative Regulation Of T Cell Activation (GO:0050868),10.093180514406997
GO_Biological_Process_2023,Defense Response To Symbiont (GO:0140546),27/148,4.802461790026295e-13,1.7330883984757382e-10,0,0,6.720096375553771,190.612022775281,IFIT5;IFI6;NLRC5;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;IFIH1;GBP2;GBP5;RSAD2;STAT1;MX1;ISG15;LILRB1;RNASE1;AIM2;OAS1;OAS2;OAS3;TLR8;TLR7;TRIM31;APOBEC3A;APOBEC3B;TLR2,SCC,GO_Biological_Process_2023: Defense Response To Symbiont (GO:0140546),9.761179284954222
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),28/159,4.4134070392395466e-13,1.7330883984757382e-10,0,0,6.443754718563879,183.31811538278376,CD86;CD274;CXCL9;CXCL8;CD80;TNFAIP3;TNFRSF11A;NOD2;CXCL13;CYP27B1;TRIM6;NLRP7;LGALS9;GBP2;IL10;GCH1;IL36G;NR1H3;LILRB1;PDCD1LG2;LILRB2;CXCL10;IL1A;CXCL11;TNFSF4;TRIB1;CD68;TLR4,SCC,GO_Biological_Process_2023: Response To Lipopolysaccharide (GO:0032496),9.761179284954222
