names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
KRT13,48.382977,1.4644266,0.0,0.0,0.7203232644409115,0.42068359782058534
DUSP1,46.301476,1.1276566,0.0,0.0,0.8661897191308956,0.6392056450412362
JUNB,45.67327,0.94488543,0.0,0.0,0.9206412294647589,0.7509899663560307
PSMB9,41.300823,1.0660224,0.0,0.0,0.7277424483306836,0.537187006877661
FOS,41.014656,0.89715177,0.0,0.0,0.9128245892951775,0.7447375472653109
BTG1,40.308956,0.77967644,0.0,0.0,0.9275304716481187,0.7993271206121416
TSC22D3,38.45288,1.0814054,0.0,0.0,0.7174085850556439,0.5265578944234376
JUND,37.658817,0.6882494,2.346737653219e-310,2.8725633367169634e-307,0.8986486486486487,0.7855717986125584
BTG2,37.57924,0.9188986,4.69405783812972e-309,5.3867247478687345e-306,0.8037890832008479,0.6353202131777176
TXNIP,36.30866,0.67554003,1.1812030433801882e-288,1.2048927266390907e-285,0.8777159512453631,0.7732753744008098
IER2,35.540283,0.7470732,1.1738829846869122e-276,1.1344034464124419e-273,0.8369104398516163,0.7047964986453092
HLA-E,35.215862,0.60401946,1.1433207539023224e-271,1.0496256181200271e-268,0.9536301006889242,0.8625063268526513
MCL1,32.79526,0.76063216,6.878987778654272e-236,5.491525852342221e-233,0.7819289878113408,0.6569506058891833
H3-3B,32.315434,0.48655328,4.246257984323873e-229,3.2485642854237766e-226,0.9797297297297297,0.914848006669247
PNRC1,31.418974,0.62913954,1.1142541461785801e-216,7.868777068455735e-214,0.8630100688924218,0.7612022508708727
IFITM1,31.347086,0.93860173,1.0660315487497711e-215,7.24940935799798e-213,0.5983041865394807,0.4567838747134308
HLA-C,30.791782,0.4514426,3.3759310469136597e-208,2.2137667840136324e-205,0.9754901960784313,0.9192693601691131
SMAP2,30.147852,1.1508063,1.1444960713868685e-199,6.004026390495512e-197,0.5234499205087441,0.36398011135260666
ZFP36,29.525658,0.75145686,1.3489287641468603e-191,6.517810799605395e-189,0.755431902490726,0.6180218536933932
FOSB,29.400534,0.7539548,5.406032339403709e-190,2.5451323021485e-187,0.7277424483306836,0.5740316193765445
SRGN,29.308105,0.7909774,8.17616738452702e-189,3.753065233682515e-186,0.7882882882882883,0.6365558102837408
GMFG,29.10884,0.92390376,2.774611866392922e-186,1.2425524019229377e-183,0.6197668256491786,0.45343436448625957
TUBA1A,29.022882,0.9068258,3.3848678266095244e-185,1.4797513848661306e-182,0.6108903020667726,0.4717003602584333
HLA-A,28.647024,0.38244426,1.7458541258937192e-180,7.45479711756618e-178,0.9576046634870164,0.9178551225176408
DNAJB1,28.604975,0.6784597,5.826505550320142e-180,2.4313742820324573e-177,0.7186009538950715,0.5935927591032245
RIPOR2,28.29143,1.453592,4.405550025234636e-176,1.7584848698550686e-173,0.39069952305246425,0.20634471670586835
PTPRC,28.131138,0.8043711,4.077319453098237e-174,1.5596596349653483e-171,0.7711976682564918,0.6035668562241343
CD48,27.915407,0.92903477,1.7346980909213815e-171,6.500161560695404e-169,0.5551139374668786,0.37712507815523866
HSPA1B,27.888807,0.7548567,3.6471339626264747e-171,1.3393005337556942e-168,0.6383147853736089,0.5051359156816625
PPP1R15A,27.655386,0.68286794,2.4041830258534564e-168,8.489077795710637e-166,0.704954954954955,0.5788846875279126
SMCHD1,27.625761,0.84076315,5.458311601886299e-168,1.8909445155138553e-165,0.6195018547959724,0.4949385178789413
UBC,27.09814,0.3664354,1.0355667653925717e-161,3.3953645320308947e-159,0.9247482776894541,0.8783755619733825
RGS2,26.648712,1.0038927,1.8522973327844227e-156,5.8637985046991e-154,0.5312665606783253,0.38444934051865304
NR4A2,26.629786,0.9185394,3.0688086154449104e-156,9.550236438675255e-154,0.5196078431372549,0.3685801053979218
SH3BGRL3,26.551323,0.49859875,2.4793853625018005e-155,7.58733244014926e-153,0.8861950185479597,0.812129693035996
OAZ1,26.522444,0.42924583,5.3412285534148405e-155,1.607709794577867e-152,0.9023582405935348,0.8417095900199482
ISG20,26.501827,0.916742,9.23357794249809e-155,2.7344794290678612e-152,0.5299417064122947,0.3892279751094173
HSPA1A,26.49432,0.60902673,1.1268874137318126e-154,3.2842507624650493e-152,0.7031001589825119,0.6048322267543991
ARPC3,26.4923,0.46575052,1.1889587041713612e-154,3.4110110573891195e-152,0.8231319554848967,0.7603388215678685
HLA-F,26.458841,0.7454771,2.8868621166502398e-154,8.154719280586931e-152,0.620429252782194,0.48902849316699915
CXCR4,26.286726,0.9150052,2.720067610290311e-152,7.567145665536423e-150,0.553921568627451,0.37605323488254383
LTB,26.069008,1.0171719,8.192021103246839e-150,2.2119661687752236e-147,0.49258081611022786,0.3235478012326198
ARHGDIB,25.32021,0.71582294,1.9136902467162876e-141,4.8801759194385764e-139,0.6796502384737679,0.548590228362164
DDX3X,25.063494,0.4897851,1.2443232450985793e-138,3.1297286442815085e-136,0.7810015898251192,0.7066275642361628
STAT3,24.907194,0.60755146,6.2178788809096e-137,1.5222196550984157e-134,0.658320084790673,0.5738380921189746
YPEL5,24.793324,0.70559865,1.0581979131432047e-135,2.5233210237951145e-133,0.6082405935347112,0.5049423884240927
DNAJA1,24.609243,0.4684414,1.0058574508137051e-133,2.367762647998774e-131,0.766295707472178,0.6916961919790395
HLA-B,24.382236,0.3220605,2.63953770658938e-131,5.983278003788593e-129,0.9858240593534712,0.9544764343347129
ARPC2,24.148008,0.42682254,7.835004467388992e-129,1.6992636476090195e-126,0.8306836248012719,0.7736326554917081
ZFP36L2,23.870275,0.5031874,6.237038338321048e-126,1.286722032920368e-123,0.7457604663487016,0.671733111025099
RSRP1,23.805159,0.53112274,2.9532706991354895e-125,5.894022098568122e-123,0.7152888182299947,0.6336082412838301
CORO1A,23.645485,0.78670037,1.3135450974369398e-123,2.5933334982838335e-121,0.5948595654478007,0.43856253907761933
MYL12A,23.59791,0.3765711,4.0492472490894943e-123,7.826129341108654e-121,0.8385002649708532,0.7893679102033525
STK4,23.593393,0.6956721,4.5055155616596336e-123,8.617267836211722e-121,0.6192368839427663,0.502426534075684
IRF1,23.549047,0.62019414,1.2838625543044376e-122,2.430206222637503e-120,0.6650768415474297,0.5712775776342037
GPSM3,23.439188,0.9611153,1.7040945347860214e-121,3.19274283195981e-119,0.44978802331743506,0.3102093071724179
H3-3A,23.139095,0.32734963,1.8720194079649032e-118,3.4031830049152066e-116,0.9610492845786963,0.9215916872599518
RESF1,22.902802,0.62350154,4.35685355926734e-116,7.766620213758022e-114,0.6706412294647589,0.5750736892249978
ARPC5,22.712412,0.49296477,3.377848964245748e-114,5.851008003067564e-112,0.7040275569687334,0.6448774823592461
CCNL1,22.652233,0.48724058,1.3261950398539313e-113,2.2757258996970123e-111,0.7297297297297297,0.6514127489802602
CYTIP,22.413544,0.8764208,2.9039058614586806e-111,4.891616102958059e-109,0.4485956544780074,0.3012028463393575
GADD45B,22.178268,0.6779269,5.568160311109116e-109,8.968157146690743e-107,0.5404080551139374,0.43914312085032897
FABP5,22.141846,0.6626451,1.2501274047388701e-108,1.9959642850791645e-106,0.5867779544250132,0.4680382290767261
BCL11B,22.12914,0.83130956,1.6570349644272526e-108,2.622829222573171e-106,0.47496025437201905,0.3233096138386876
ITM2B,22.050125,0.33692876,9.525861275638645e-108,1.482240160016959e-105,0.9277954425013248,0.8841664929883586
CD69,21.932732,0.7861874,1.265965552705204e-106,1.9533103792622058e-104,0.5178855325914149,0.36615357132223775
IFITM2,21.896852,0.48058876,2.783605729332303e-106,4.2591487330225346e-104,0.7766295707472178,0.7315479203263168
IER5,21.78534,0.7436269,3.195703700828773e-105,4.770432166741227e-103,0.492845786963434,0.3844791139428946
MBP,21.696236,0.7059779,2.2266206645732036e-104,3.2706385617782875e-102,0.5541865394806571,0.4556822580164945
SLC2A3,21.68997,0.8249512,2.5515734286368272e-104,3.718209501841332e-102,0.47549019607843135,0.34348110876231874
ATP6V0E1,21.651901,0.42382547,5.832472361626258e-104,8.366408205610916e-102,0.7179385267620562,0.6618185607526722
PIK3IP1,21.509092,1.0509809,1.2798423364875261e-102,1.821642258933912e-100,0.36605723370429255,0.2357608598564921
FYB1,21.395578,0.719549,1.468952779635204e-101,2.0747263066832293e-99,0.5687599364069952,0.4344835799565308
PPP2R5C,21.262295,0.63615155,2.537043080101051e-100,3.5559273277660607e-98,0.5752517223105459,0.48084080150058056
SF1,21.128654,0.51924974,4.337389468971704e-99,5.987880303743567e-97,0.6250662427133016,0.5532348825438413
HNRNPA2B1,21.08973,0.27528623,9.882473732466705e-99,1.334206619131038e-96,0.8483041865394807,0.8227290320659779
SRSF7,21.044744,0.38400605,2.5548996601733823e-98,3.3993125116263386e-96,0.7382087970323264,0.6855479798731652
MT-ND1,20.95039,0.20976774,1.8610441796691198e-97,2.4583188620794753e-95,0.9478007419183889,0.9361062315776938
TRAC,20.91074,0.81519055,4.2754829607545997e-97,5.607295903029657e-95,0.45760466348701645,0.3072915115967487
CD37,20.895422,0.7332671,5.89325786881734e-97,7.674192037542921e-95,0.5136459989401165,0.3840473992913925
TMBIM4,20.84259,0.5188692,1.779454123747456e-96,2.3008843074737352e-94,0.6140699523052464,0.5509721023014857
STAT1,20.7712,0.79219925,7.886294213543333e-96,1.0055572781588134e-93,0.44382617912029676,0.3394616964897133
CDC42,20.319235,0.33227006,8.691959835922957e-92,1.0430919905057608e-89,0.7580816110227875,0.7187155744782208
DUSP2,20.318642,0.7222729,8.797611921993433e-92,1.048915275972217e-89,0.4990726020137785,0.3717212016554024
JUN,20.318151,0.420414,8.885835396620774e-92,1.0525988626926067e-89,0.7571542130365659,0.6779259832673356
CLEC2B,20.314232,0.6531289,9.624256853817722e-92,1.1327626929035077e-89,0.5576311605723371,0.44881948372882363
UBE2B,20.287981,0.6124598,1.6420370343795015e-91,1.9203466234549062e-89,0.5753842077371489,0.503111322833239
SRSF5,20.182816,0.40137798,1.3862283466201783e-90,1.600788595741704e-88,0.7380763116057234,0.6782981510703546
BTN3A2,20.082907,0.86473405,1.0412000677678028e-89,1.1874207729369332e-87,0.39997350291467937,0.2769970524310001
PSMB8,20.05162,0.5021699,1.9537854275058976e-89,2.2144107552120854e-87,0.5798887122416534,0.512207103939024
EIF4A2,20.019926,0.35807365,3.6927251258487645e-89,4.1596396340925865e-87,0.710386857445681,0.6596302140709203
DDX5,20.0145,0.2777033,4.117495640270502e-89,4.609837649451628e-87,0.8929517753047165,0.863146455473844
H2AZ1,19.944687,0.4014091,1.6668850847611523e-88,1.821766490553543e-86,0.6793852676205617,0.6299609968142436
ACTB,19.907183,0.24693657,3.525951874277498e-88,3.8307693706277596e-86,0.9742978272390037,0.9510971506833001
TERF2IP,19.814676,0.56970257,2.224311603416061e-87,2.374452636646645e-85,0.5525967143614202,0.4704052163039271
PPP1R2,19.780638,0.6352398,4.371353679207571e-87,4.63944652623874e-85,0.525039745627981,0.43857742578974007
EIF1,19.778757,0.24050567,4.537344877445627e-87,4.787941913493055e-85,0.9680710121886592,0.9466757971834341
CNBP,19.588568,0.42373472,1.9355658764611735e-85,1.985414807692939e-83,0.6193693693693694,0.572319647482657
CLIC1,19.545937,0.31574082,4.4671316487416014e-85,4.4576632718774214e-83,0.791467938526762,0.7592818650072944
CD3E,19.46251,0.75140697,2.2833012913947765e-84,2.2539620973816932e-82,0.4546899841017488,0.31446690683895556
HSP90AA1,19.352457,0.1989339,1.943497646282315e-83,1.9082652557962346e-81,0.890302066772655,0.8767529103522196
CLK1,19.248322,0.6043507,1.4581027774591184e-82,1.4165198463982474e-80,0.535903550609433,0.44908744454699734
EVI2B,19.201422,0.8599647,3.6010415623791436e-82,3.461713305070338e-80,0.39772125066242714,0.2803465626581713
CIRBP,19.060068,0.40247807,5.420434981014053e-81,5.077786055428522e-79,0.6482511923688394,0.5945306219668324
CLEC2D,18.876766,0.8473681,1.7710296515467384e-79,1.586237825953642e-77,0.38023317435082143,0.2571977253103879
GIMAP4,18.872715,0.7870991,1.912174019119937e-79,1.696107592515032e-77,0.40924748277689454,0.2866883020216155
ZFP36L1,18.812256,0.3649414,5.993214634300207e-79,5.290452591364717e-77,0.7379438261791202,0.6995266025545598
GIMAP7,18.786993,0.7291924,9.649555704766904e-79,8.477296282068187e-77,0.4440911499735029,0.3165808199601036
ISG15,18.77513,0.6269248,1.2065452986197826e-78,1.0549227727598965e-76,0.49165341812400637,0.413165808199601
CD3G,18.734179,0.7390005,2.6063405150478637e-78,2.257312179094048e-76,0.4556173820879703,0.31431803971774797
LCP1,18.67199,0.60138243,8.367826431974789e-78,7.146123772906469e-76,0.6181770005299417,0.494953404591062
SELL,18.624445,1.442576,2.0359451154279367e-77,1.7306476048320533e-75,0.23529411764705882,0.10663351892101111
SARAF,18.545511,0.37979972,8.865509378409958e-77,7.501364870828813e-75,0.6980657127715951,0.6489564414803346
N4BP2L2,18.489946,0.3620415,2.4879793969887838e-76,2.067049308059324e-74,0.7257551669316376,0.6760055974037574
APBB1IP,18.270313,0.7456632,1.4263162528451713e-74,1.1536824986119027e-72,0.41878643349231587,0.3027659511120374
MYL12B,18.166557,0.25214085,9.497464775067932e-74,7.614976014629795e-72,0.8044515103338633,0.7750171197189388
KRT1,18.11569,2.1166096,2.3964681570764402e-73,1.913110949220892e-71,0.17647058823529413,0.05103164914996874
B2M,18.101221,0.18557127,3.116755430511035e-73,2.4773483315849834e-71,0.9996025437201908,0.9942835025456278
TMSB4X,18.06727,0.20796512,5.769817058865939e-73,4.508068553950532e-71,0.9890037095919448,0.9770298031976657
LEPROTL1,18.048306,0.6096251,8.13490518456634e-73,6.3290251734670584e-71,0.5033121356650768,0.42230624944174827
JAML,17.906878,1.0674932,1.042201943465088e-71,8.040281463849782e-70,0.29756226815050346,0.18011432994908744
KLF6,17.88312,0.42008907,1.596483335782109e-71,1.2264866329830672e-69,0.735691573926868,0.6630541578586954
OSTF1,17.879152,0.6086349,1.714232229831727e-71,1.3114590821641808e-69,0.5037095919448861,0.4244797094113794
LIMD2,17.75175,0.74570113,1.6706147813392317e-70,1.2571376229577718e-68,0.41640169581346054,0.30976270580879506
CDKN2D,17.678526,1.0885594,6.138036633856595e-70,4.544374622348425e-68,0.30842607313195547,0.19943728228183524
ARL4C,17.650307,0.5398429,1.0120444299945273e-69,7.462709951457637e-68,0.530736618971913,0.44389198201685176
KRT15,17.64374,1.0709138,1.1368358382579955e-69,8.349377130502022e-68,0.29398516163222044,0.18606901479739185
SAT1,17.55534,0.30187976,5.41420136333075e-69,3.9605637941082035e-67,0.8369104398516163,0.804850090808944
FUS,17.518257,0.3607196,1.0396050002996662e-68,7.574677543850068e-67,0.6750132485426603,0.6270283145264537
CD3D,17.470982,0.65873486,2.3836146954504175e-68,1.7230531268962644e-66,0.5022522522522522,0.36596004406466787
RNF149,17.467012,0.758762,2.5553383930037104e-68,1.8327565716383254e-66,0.45535241123476417,0.3699347962009111
ZNRD1,17.319336,0.7328925,3.362112865631035e-67,2.374298243301978e-65,0.39878113407525173,0.30766367939976774
HNRNPU,17.31618,0.2818247,3.5516860248548004e-67,2.4985634905118388e-65,0.7472178060413355,0.7187900080388245
HOPX,16.932093,0.75545424,2.609357799796708e-64,1.748555421973261e-62,0.35241123476417596,0.23833626105338376
RNASET2,16.910118,0.56220424,3.789522739892133e-64,2.520993732868096e-62,0.5408055113937467,0.483743710364129
SRSF2,16.886333,0.38181892,5.6720292147508594e-64,3.732764459212922e-62,0.6017488076311606,0.5560335844225445
GLS,16.867174,0.58148247,7.84606964749515e-64,5.145060171344944e-62,0.47774244833068363,0.39690951856373
TRIR,16.86359,0.322287,8.336654645418406e-64,5.4473066172429666e-62,0.6485161632220455,0.610191443117873
TAP1,16.724632,0.69974554,8.671011402688661e-63,5.586261065430404e-61,0.40487546369899313,0.31909667430851224
TRAF3IP3,16.621618,0.771586,4.86032871485986e-62,3.066683695310718e-60,0.3509538950715421,0.23714532408372288
EMB,16.616173,0.712978,5.322308777202144e-62,3.3466750499386493e-60,0.3897721250662427,0.2795873403400125
MT-CO3,16.552166,0.118846945,1.5444268695760236e-61,9.45240725076179e-60,0.9512453630100689,0.9546253014559204
CALM2,16.484226,0.22834277,4.7635957746998745e-61,2.8490026716372764e-59,0.7566242713301536,0.7364605353261678
JAK1,16.379011,0.37714982,2.7009442645308386e-60,1.5844101482763812e-58,0.6514308426073132,0.6087623187542799
SRSF3,16.35313,0.27001277,4.13195926163734e-60,2.408473142949943e-58,0.6981981981981982,0.6677732456009766
ATP6V1G1,16.3444,0.31272978,4.7683800425688404e-60,2.7706400620761543e-58,0.6579226285108638,0.6256438502992229
GPBP1,16.333176,0.47286522,5.732141572336537e-60,3.3201214955732224e-58,0.5386857445680975,0.4788459820763986
SLA,16.199795,0.71875393,5.059495236867747e-59,2.8496132528873833e-57,0.36698463169051404,0.26246762140113733
MXD1,16.135994,0.93988186,1.4249424278463738e-58,7.97663656027051e-57,0.3492315845257022,0.259996427189091
GZMM,16.11384,0.76110566,2.039571238298797e-58,1.134805075951643e-56,0.33730789613142553,0.2240003572810909
IKZF1,16.025679,0.6342397,8.45623212915282e-58,4.648649045610028e-56,0.4214361420243773,0.31597046476315244
CD247,16.02027,0.7956593,9.224861197318944e-58,5.056050043103675e-56,0.3194223635400106,0.20790782147854825
