names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
IGHA1,100.750984,2.4498584,0.0,0.0,0.6104378615599442,0.2151193020971749
IGLC3,91.85783,3.389031,0.0,0.0,0.46396868142828646,0.08715119302097175
IGLC2,80.39593,2.0975132,0.0,0.0,0.5274037502493517,0.20902420705991104
IGKC,69.55289,1.233055,0.0,0.0,0.7498005186515061,0.5027153503957479
SAA1,66.58257,2.5294707,0.0,0.0,0.37706961899062436,0.10757409440175632
HSPA1B,65.31649,1.2410771,0.0,0.0,0.6313335328146819,0.3879773528222312
SLPI,62.3539,1.1595597,0.0,0.0,0.6538001196888091,0.4255878444739731
KRT13,60.1406,1.3137509,0.0,0.0,0.5607919409535208,0.3237044312207522
HSPA1A,57.58998,0.948394,0.0,0.0,0.7009774586076202,0.5148766537639379
LCN2,56.585598,1.5469635,0.0,0.0,0.43683921803311393,0.2213299439597897
S100A2,56.47392,1.4203087,0.0,0.0,0.46391881109116295,0.2663065457276561
WFDC2,52.940514,1.0708694,0.0,0.0,0.569294833433074,0.3720607776301346
KRT14,47.97468,2.3571246,0.0,0.0,0.2735387991222821,0.07432549540701369
IGHG1,47.24058,1.7480956,0.0,0.0,0.3256782365848793,0.1307412328846265
NNMT,47.20516,2.284855,0.0,0.0,0.26880111709555154,0.07207233231266971
DNAJB1,46.463367,0.753608,0.0,0.0,0.673424097346898,0.528366745623664
TIMP1,44.278114,0.906529,0.0,0.0,0.5261819269898265,0.37362065977237274
IGHG4,43.969364,1.4502596,0.0,0.0,0.34906742469579094,0.17060488763071235
S100A7,43.955875,4.5902843,0.0,0.0,0.19721224815479751,0.01158356924143509
IGFBP7,43.34586,1.4244336,0.0,0.0,0.34288350289247954,0.164567566006124
S100A9,42.37824,0.73432493,0.0,0.0,0.7060143626570916,0.5498295684326073
IGHG3,42.37043,1.8376051,0.0,0.0,0.28495910632355875,0.11234040094748397
S100A8,41.665092,0.79000413,0.0,0.0,0.6374925194494315,0.4660870067594893
SCGB2A2,41.588882,4.0863075,0.0,0.0,0.19130261320566527,0.015887688485758854
JCHAIN,41.53541,2.1692636,0.0,0.0,0.23897865549571115,0.06259749263388989
SSR4,41.268353,0.5466962,0.0,0.0,0.7586275683223619,0.6597723727540585
SAA2,41.000015,2.5292044,0.0,0.0,0.2263115898663475,0.05664683112831475
BPIFB1,40.783627,2.2210038,0.0,0.0,0.23441551964891283,0.06268415275290311
HSP90AB1,40.60033,0.45102847,0.0,0.0,0.8291691601835228,0.7462591715292622
CLU,39.703808,1.4099866,0.0,0.0,0.3241571913026132,0.17181812929689758
LGALS1,39.69227,0.71455175,0.0,0.0,0.6078944743666467,0.4692934311629788
KRT5,39.26348,1.0681034,0.0,0.0,0.3875673249551167,0.23115142411462244
RPLP0,38.49348,0.41623986,0.0,0.0,0.8594653899860363,0.7828297417528454
SERPINB3,38.21772,1.6217905,0.0,0.0,0.27104528226610813,0.11554682535097348
FABP5,38.183136,0.75664186,0.0,0.0,0.5367045681228805,0.41437980241492867
MGP,37.19006,1.8412737,9.879285647518588e-303,4.1225809948656546e-300,0.23351785358069022,0.07643422496966897
SELENOM,36.934994,1.0038435,1.2684060661628118e-298,5.062870387133781e-296,0.38504887293038104,0.23155583800335086
RPL8,36.535786,0.3716432,2.9986730703666085e-292,1.1470549217708604e-289,0.9118043087971275,0.8472759835923508
RPL3,36.345642,0.36703545,3.0788888045309183e-289,1.153703619183514e-286,0.9136245761021344,0.8526777976775088
SLC25A6,35.938137,0.5035382,7.75535747492053e-283,2.68671921881162e-280,0.6965389986036306,0.6013923392454792
UBB,35.922157,0.40439945,1.3775719191285481e-282,4.683999630948014e-280,0.8436315579493318,0.7670287133860997
EEF1B2,35.6762,0.4210019,9.249318767486915e-279,3.087758943451405e-276,0.8380710153600638,0.7574672135883067
KRT6A,35.5026,1.2079245,4.48151258490841e-276,1.443597413535146e-273,0.31450728106922005,0.17158703564619562
SPARCL1,35.241817,1.6612605,4.578808493959672e-272,1.4249407247049754e-269,0.23234590065828845,0.08241377318158184
MUC5B,34.81364,1.0879222,1.5122216777614747e-265,4.627650370896406e-263,0.33171254737682027,0.19122999595586113
TUBB4B,34.744038,0.58235484,1.7054119548510703e-264,5.133289984101722e-262,0.5841063235587473,0.47013114564677333
C1R,34.64123,1.8447526,6.0539112466468214e-263,1.764378799994957e-260,0.22481547975264313,0.08281818707031025
RPS4X,34.54323,0.35401145,1.8015184014397703e-261,5.088873749051634e-259,0.925817873528825,0.8654168351724536
DDIT4,34.511055,0.7278117,5.475791385603391e-261,1.5233485701676342e-258,0.49566128067025733,0.36379917961754
RGCC,34.492767,0.8693034,1.0296605070951236e-260,2.821730831458741e-258,0.4137741871135049,0.2746836905656017
SELENOK,34.10898,0.58122796,5.428896670305807e-255,1.4658819376983077e-252,0.6156742469579094,0.5076260904731642
XBP1,34.04059,0.6856685,5.593407067046933e-254,1.4884137269282426e-251,0.5130660283263515,0.4014963313882951
RPS26,33.781708,0.36737028,3.661192746567976e-250,9.603308574247801e-248,0.8353530819868342,0.7688774625917153
RARRES1,33.339657,2.071933,1.0287725522975697e-243,2.6604637792585464e-241,0.21154997007779772,0.07808076723092033
