names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
C15orf48,66.241615,2.4607096,0.0,0.0,0.4956807897984369,0.16542503658374352
IFI6,59.18536,1.7550462,0.0,0.0,0.5313999725764431,0.25523812691233205
STAT1,57.138325,1.6218985,0.0,0.0,0.5606746194981489,0.29890581348942397
GBP1,56.880787,2.186207,0.0,0.0,0.45283148224324693,0.16693827324730612
CXCL8,52.587715,1.6665353,0.0,0.0,0.5046620046620046,0.2221464680058534
HLA-DRA,50.97822,1.2216475,0.0,0.0,0.6415055532702592,0.4209458560595982
TNFAIP3,49.741077,1.2515006,0.0,0.0,0.634032634032634,0.39282626047625385
ISG15,49.560196,1.2531363,0.0,0.0,0.6039352804058686,0.3767460423041107
SPP1,49.46755,2.9890463,0.0,0.0,0.3270259152612094,0.07175402421178662
APOE,48.721638,2.7208018,0.0,0.0,0.3350473056355409,0.08610482905414395
XAF1,48.373676,1.4079454,0.0,0.0,0.5138488962018374,0.2848044432619396
MX1,48.281513,1.6451907,0.0,0.0,0.4439873851638558,0.20621591060263403
IFI44L,47.292503,2.3232462,0.0,0.0,0.34128616481557655,0.09295596647598776
GBP5,46.243164,1.8337128,0.0,0.0,0.40703414232825996,0.16584076094186512
HLA-DRB1,45.813297,1.0867105,0.0,0.0,0.6079116961469903,0.4015731009711321
CCL3,45.35876,2.2150068,0.0,0.0,0.3432743726861374,0.10620925901290408
EPSTI1,44.745,1.5070524,0.0,0.0,0.43829699712052655,0.20944193162165758
TAP1,44.17708,1.2824211,0.0,0.0,0.5049362402303579,0.28478781428761474
APOC1,43.208443,3.1412375,0.0,0.0,0.28143425202248734,0.0603299188506053
SAMD9L,42.95737,1.512604,0.0,0.0,0.41402714932126694,0.18346747372622058
LYZ,41.799477,2.1095564,0.0,0.0,0.32654600301659126,0.11073234002926699
GBP4,41.301537,1.7821276,0.0,0.0,0.35671191553544496,0.14058134894239724
IFIT3,40.85638,2.0661583,0.0,0.0,0.31653640477169886,0.10398097645337236
IFI44,39.624825,1.6237651,0.0,0.0,0.349718908542438,0.14222761740055873
CTSS,39.19103,0.98065215,0.0,0.0,0.5950226244343891,0.3958361048290541
OAS3,38.755173,2.0929039,0.0,0.0,0.29439188262717675,0.09393707596115472
RNF213,38.35755,0.7529968,0.0,0.0,0.7683395036336212,0.6301716110150326
IRF1,38.115417,0.8608413,0.0,0.0,0.7195941313588372,0.5470766263136889
GBP2,38.011528,1.1724933,0.0,0.0,0.46572055395584805,0.2771218571238526
OAS1,36.977604,1.6678767,2.6233652007284575e-299,6.784170204306368e-297,0.324694912930207,0.13775442330717041
APOL6,36.59574,1.0327559,3.342741338574142e-293,8.294064015886462e-291,0.5113807760866584,0.327806970866037
TYMP,36.582882,0.8341171,5.353064785796206e-293,1.3105016337600555e-290,0.6166186754422048,0.46181987495011306
NAMPT,36.453075,0.8670537,6.1496159315631016e-291,1.4476038220439757e-288,0.6259426847662142,0.4470367167753093
HLA-DQA1,36.386463,1.4726291,6.969741191855036e-290,1.6198913673879788e-287,0.35499794323323736,0.17240920580018623
HLA-DQB1,35.23064,1.2266176,6.791295148917985e-272,1.4169882980600354e-269,0.41135335252982314,0.25560396434747906
CD74,35.163464,0.733041,7.237876922756927e-271,1.4931984065026959e-268,0.7417386535033594,0.5955500864706665
NFKBIA,35.035446,0.7701042,6.496210510374789e-269,1.3107353975933134e-266,0.7141779788838613,0.5702906744711986
ICAM1,34.862843,1.8601943,2.7201436234816595e-266,5.370382480725457e-264,0.29404908816673525,0.11372555540774246
PARP14,34.81563,0.94967014,1.411013155951232e-265,2.7561289953638902e-263,0.5127519539284245,0.3551117467074631
PARP9,34.470722,1.2292994,2.2034489083927664e-260,4.12831891908159e-258,0.38667215137803373,0.21394838366369562
FOSB,34.193977,0.7811603,2.9715324750809786e-256,5.1962197880916045e-254,0.728575346222405,0.5558400957828921
NCEH1,33.176586,2.06447,2.343222705558708e-241,3.807425849271101e-239,0.24962292609351433,0.07750764932818943
SAMD9,33.0747,0.99323064,6.869099207452225e-240,1.1063467591932482e-237,0.4482380364733306,0.26879074098709593
OAS2,31.62958,1.4046601,1.447854805836863e-219,2.0607800069744683e-217,0.2970656794186206,0.12844219768524678
PLSCR1,31.511667,0.950128,6.012488074870844e-218,8.427121644481189e-216,0.43260660907719733,0.2794998004523081
RSAD2,31.502926,2.4359624,7.920936934505639e-218,1.0935061883793837e-215,0.21465789112847936,0.04672741785286683
IFIH1,31.129057,1.4500117,9.743480508937046e-213,1.2870506879467129e-210,0.3037158919511861,0.14324198483437542
C1QA,31.112764,2.5627756,1.6186030474269583e-212,2.1077425924685376e-210,0.21129850541615247,0.04757549554343488
RGS1,31.05429,0.9194552,9.983900676935515e-212,1.28191888342107e-209,0.4768956533662416,0.3059232406545164
LGALS9,30.973907,1.2279156,1.2109350941373173e-210,1.5333778802382953e-208,0.33381324557795145,0.1745709724624185
HLA-A,30.90029,0.38566428,1.1837923916190813e-209,1.4686224393593213e-207,0.9597559303441656,0.912681255820141
PLEK,30.837872,1.187592,8.146024152026397e-209,9.971276630357113e-207,0.3540381187440011,0.1891213249966742
PLAUR,30.8256,1.0300275,1.1896853683689922e-208,1.4466101356704019e-206,0.40127519539284245,0.24768857256884394
ABCG1,30.698992,1.6633337,5.8708036242332816e-207,6.954440344809502e-205,0.2701220348279172,0.11001729413329786
FOS,30.684923,0.6381547,9.04517149195614e-207,1.0646050882295301e-204,0.8749485808309337,0.7342523613143541
FNDC3B,30.585741,1.0863483,1.8941062465414628e-205,2.1601046455122854e-203,0.38763197586727,0.24073766130105095
CCL4,30.498228,0.9455772,2.7507496109423642e-204,3.0610008246371367e-202,0.4686685863156451,0.3204403352401224
BTN3A2,30.452469,0.89822066,1.1110814514680324e-203,1.221590810203865e-201,0.4284245166598108,0.25570373819342823
CEACAM5,30.169317,2.4574084,5.986217444075289e-200,6.503724171045349e-198,0.20745920745920746,0.04835705733670347
CYBB,30.123774,2.1167362,2.3663983376022705e-199,2.5261302253904238e-197,0.229466611819553,0.07250232805640548
DTX3L,30.014769,1.0805401,6.297025301231202e-198,6.683218587046595e-196,0.36164815576580284,0.20520154316881734
C1QB,29.963844,2.497049,2.9049231858158313e-197,3.065361759469223e-195,0.20519676402029344,0.04722628708261274
